Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private,Category,Color ID
Challenge @ MEEPLE MADNESS,08/26/2025,07:00 PM,08/26/2025,08:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-08-000606/
nan","MEEPLE MADNESS, nan, nan, GA 30542 US",FALSE,Challenge,7
Challenge @ CARDBOARD CASTLE GAMES,08/27/2025,06:30 PM,08/27/2025,07:30 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-08-005140/
nan","CARDBOARD CASTLE GAMES, nan, nan, GA 30907 US",FALSE,Challenge,7
Challenge @ THE COOL PLACE,08/28/2025,06:30 PM,08/28/2025,07:30 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-08-009786/
nan","THE COOL PLACE, nan, nan, GA 31909 US",FALSE,Challenge,7
Challenge @ OLYMPUS CARDS AND GAMES,08/30/2025,01:00 PM,08/30/2025,02:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-08-007848/
nan","OLYMPUS CARDS AND GAMES, nan, nan, GA 30180 US",FALSE,Challenge,7
Challenge @ GALACTIC COMICS & GAMES,08/30/2025,01:00 PM,08/30/2025,02:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-08-002993/
nan","GALACTIC COMICS & GAMES, 21 E VINE ST, STATESBORO, GA 30458 US",FALSE,Challenge,7
Challenge @ KAPOW COMICS,08/30/2025,12:00 PM,08/30/2025,01:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-08-007498/
nan","KAPOW COMICS, nan, nan, GA 30040 US",FALSE,Challenge,7
Challenge @ LEVEL UP ATHENS,08/31/2025,02:00 PM,08/31/2025,03:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-08-007006/
nan","LEVEL UP ATHENS, 8851 MACON HWY, ATHENS, GA 30606 US",FALSE,Challenge,7
Challenge @ HAWK'S NEST GAMING,08/31/2025,01:00 PM,08/31/2025,02:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-08-007029/
nan","HAWK'S NEST GAMING, 6721 BELLS FERRY RD, WOODSTOCK, GA 30189 US",FALSE,Challenge,7
Cup @ LAKE HARTWELL COLLECTIBLES,09/02/2025,06:00 PM,09/02/2025,07:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-000221/
nan","LAKE HARTWELL COLLECTIBLES, 150 W FRANKLIN ST, HARTWELL, GA 30643 US",FALSE,Cup,11
Challenge @ THE WASTELAND GAMING,09/05/2025,07:30 PM,09/05/2025,08:30 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-002381/
nan","THE WASTELAND GAMING, 3650 SATELLITE BLVD, DULUTH, GA 30096 US",FALSE,Challenge,7
Challenge @ DRUID'S LAIR,09/05/2025,07:00 PM,09/05/2025,08:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-002233/
nan","DRUID'S LAIR, nan, nan, GA 30752 US",FALSE,Challenge,7
Cup @ MEEPLE MADNESS,09/06/2025,12:00 PM,09/06/2025,01:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-003028/
nan","MEEPLE MADNESS, nan, nan, GA 30542 US",FALSE,Cup,11
Challenge @ GALACTIC COMICS & GAMES,09/06/2025,01:00 PM,09/06/2025,02:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-002129/
nan","GALACTIC COMICS & GAMES, 21 E VINE ST, STATESBORO, GA 30458 US",FALSE,Challenge,7
Challenge @ ROLL THE BONES,09/06/2025,02:00 PM,09/06/2025,03:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-002280/
nan","ROLL THE BONES, nan, nan, GA 31406 US",FALSE,Challenge,7
Cup @ THE COOL PLACE,09/06/2025,01:00 PM,09/06/2025,02:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-003201/
nan","THE COOL PLACE, 7830 VETERANS PKWY, COLUMBUS, GA 31909 US",FALSE,Cup,11
Challenge @ HOBBYTOWN USA,09/06/2025,02:30 PM,09/06/2025,03:30 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-003198/
nan","HOBBYTOWN USA, 840 ERNEST W BARRETT PKWY NW, KENNESAW, GA 30144 US",FALSE,Challenge,7
"Challenge @ SUPER GAMES, INC.",09/08/2025,07:00 PM,09/08/2025,08:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-002225/
nan","SUPER GAMES, INC., 13093 GA-9, MILTON, GA 30004 US",FALSE,Challenge,7
Challenge @ THE SPORTS SHACK,09/10/2025,06:30 PM,09/10/2025,07:30 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-002230/
nan","THE SPORTS SHACK, nan, nan, GA 30518 US",FALSE,Challenge,7
Cup @ DRUID'S LAIR,09/12/2025,06:00 PM,09/12/2025,07:00 PM,FALSE,"https://www.pokemon.com/us/pokemon-trainer-club/play-pokemon-tournaments/25-09-002232/
nan","DRUID'S LAIR, nan, nan, GA 30752 US",FALSE,Cup,11
